NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT04524962,NO,2024-05,
NCT05758480,NO,2024-01,
NCT05307562,NO,2025-04,
NCT04886362,NO,2021-09,
NCT05298462,NO,2020-07-24,
NCT04617262,NO,2023-02-20,
NCT04739462,NO,2021-10-21,
NCT04368676,NO,2022-04-09,
NCT04884776,NO,2024-05-31,
NCT04411667,YES,2020-06-23,2021-06-10
NCT06189040,NO,2021-11-03,
NCT04954040,NO,2021-10,
NCT04402840,NO,2020-12-31,
NCT05630040,NO,2024-02,
NCT04467840,YES,2021-07-18,2023-01-28
NCT05697640,NO,2023-09,
NCT04461340,NO,2020-10-30,
NCT05121740,NO,2022-03-16,
NCT04642040,NO,2021-01,
NCT05904067,NO,2024-01-01,
NCT04445467,NO,2021-11,
NCT04610567,NO,2021-03-15,
NCT05037240,NO,2021-04-06,
NCT05047640,YES,2022-10-25,2023-04-14
NCT04661540,NO,2021-05-09,
NCT04408040,YES,2021-09-14,2021-11-23
NCT04748289,NO,2025-01-31,
NCT05507489,NO,2022-09-10,
NCT05022329,NO,2022-05-11,
NCT04588480,YES,2021-11-25,2022-11-23
NCT04629989,NO,2021-03-05,
NCT04799392,NO,2021-10-28,
NCT05204589,NO,2022-04-01,
NCT04497389,YES,2022-08-02,2023-09-28
NCT04568889,NO,2022-08-31,
NCT05389592,NO,2022-11-30,
NCT04345692,NO,2020-08-31,
NCT05382780,NO,2022-10-15,
NCT04353180,NO,2021-10,
NCT04363346,NO,2021-02-18,
NCT04844346,NO,2022-01-11,
NCT04445246,NO,2021-05-31,
NCT05851846,NO,2024-05-15,
NCT04494646,YES,2021-01-08,2022-01-07
NCT04393246,NO,2022-06-01,
NCT04411446,NO,2021-07-28,
NCT05690646,NO,2023-03-24,
NCT05633446,NO,2024-03-23,
NCT04382846,NO,2030-12-01,
NCT04468646,NO,2020-07-15,
NCT04406246,NO,2020-12-31,
NCT04723446,NO,2021-10-25,
NCT05191446,NO,2026-01-31,
NCT04983446,NO,2022-10-30,
NCT04475562,NO,2020-05-06,
NCT05125562,NO,2023-03-07,
NCT06004362,NO,2025-07,
NCT05216562,NO,2022-06-30,
NCT04570462,NO,2020-12-31,
NCT04946162,NO,2020-04-20,
NCT04673162,NO,2021-04-21,
NCT04355962,NO,2021-06-25,
NCT06235762,NO,2023-11-15,
NCT05037162,NO,2023-01-21,
NCT04932850,NO,2021-10-20,
NCT04340050,YES,2020-12-23,2021-12-22
NCT05624450,NO,2025-03-17,
NCT04679350,NO,2022-11-30,
NCT04438850,NO,2021-06-08,
NCT04329650,NO,2021-02-26,
NCT04969250,NO,2022-12-21,
NCT04350450,NO,2020-08,
NCT04859023,NO,2021-02-28,
NCT04791423,NO,2021-06-04,
NCT05658523,NO,2024-10,
NCT05268523,NO,2022-06-01,
NCT05648123,NO,2023-03-17,
NCT04983823,NO,2024-12,
NCT04416308,NO,2020-07-10,
NCT04350723,NO,2021-07-17,
NCT04824443,NO,2024-03-29,
NCT04628143,NO,2021-04-05,
NCT05231603,NO,2022-05-31,
NCT04930003,NO,2021-12-15,
NCT04313023,YES,2021-07-31,2023-02-23
NCT04661423,NO,2024-02,
NCT05397223,NO,2024-03-25,
NCT05317923,NO,2022-06-30,
NCT04413864,NO,2022-10-24,
NCT04273321,NO,2020-04-15,
NCT04672564,NO,2022-03-24,
NCT04252664,NO,2020-04-10,
NCT05225064,NO,2022-04-27,
NCT05027464,NO,2023-08-30,
NCT04420364,NO,2021-05-04,
NCT04811664,YES,2021-12-30,2023-05-30
NCT04436276,NO,2023-02-21,
NCT04464460,NO,2020-10-30,
NCT04379076,NO,2022-02-28,
NCT04568876,NO,2021-02-28,
NCT04876560,NO,2020-10-10,
NCT05993260,NO,2021-04-29,
NCT04594460,NO,2021-10-31,
NCT04992260,NO,2023-05-31,
NCT04572360,NO,2022-12-31,
NCT04445376,NO,2020-09-10,
NCT05308576,NO,2023-10,
NCT05491876,NO,2022-02-10,
NCT05122260,NO,2022-01-27,
NCT05383560,NO,2024-01-31,
NCT04379492,NO,2020-09-25,
NCT05110560,NO,2021-08-01,
NCT04334460,YES,2020-11-11,2022-02-20
NCT04631380,NO,2021-06-01,
NCT04959760,NO,2022-01-20,
NCT06178991,NO,2024-08-29,
NCT06175494,NO,2024-07-31,
NCT05150860,NO,2023-07-30,
NCT04547660,NO,2021-01-07,
NCT04425460,NO,2020-08,
NCT04847518,NO,2022-01,
NCT05791318,NO,2024-04,
NCT04394013,NO,2020-12-31,
NCT04905836,NO,2022-12,
NCT04853836,NO,2021-10-28,
NCT04559113,NO,2020-12-30,
NCT04355936,NO,2020-11-02,
NCT05148949,NO,2022-12-10,
NCT04414618,YES,2020-11-26,2022-02-03
NCT05787418,NO,2023-12-31,
NCT04591613,NO,2024-12,
NCT04797936,NO,2020-12-19,
NCT05839236,NO,2023-06-30,
NCT04703036,NO,2023-12-31,
NCT04471636,NO,2022-06-27,
NCT04895449,NO,2022-11-02,
NCT05101213,NO,2025-01-31,
NCT05736913,NO,2023-03-31,
NCT05851313,NO,2023-02-10,
NCT05658536,NO,2024-02,
NCT04358549,YES,2020-09-30,2022-03-22
NCT05984849,NO,2024-11-30,
NCT04652518,NO,2022-06-28,
NCT04757818,NO,2021-05-25,
NCT04738136,NO,2021-10-31,
NCT04595136,NO,2021-07-30,
NCT04818736,NO,2021-09,
NCT05148936,NO,2022-06,
NCT04680949,NO,2021-03-31,
NCT04673318,NO,2024-12,
NCT05480436,NO,2023-01-30,
NCT05468736,NO,2023-11-13,
NCT04393636,NO,2022-12-31,
NCT04813718,NO,2022-07-11,
NCT05007236,NO,2022-03-25,
NCT04748536,NO,2021-04-05,
NCT05911113,NO,2023-08-30,
NCT04690413,YES,2020-12-31,2022-04-04
NCT04661813,NO,2023-01-15,
NCT05576636,NO,2021-12-10,
NCT05293236,NO,2022-12-31,
NCT04685213,YES,2021-03-18,2021-10-12
NCT04362813,YES,2020-09-16,2021-07-30
NCT04578236,NO,2020-12,
NCT05120817,NO,2022-01,
NCT04366141,NO,2021-02-01,
NCT04341441,YES,2020-12-15,2022-02-28
NCT05220241,NO,2024-07-01,
NCT05381519,NO,2022-06,
NCT05817019,NO,2024-12-25,
NCT04328441,NO,2021-03-31,
NCT04545541,NO,2024-04,
NCT04847141,YES,2021-11-10,2022-11-08
NCT05290441,NO,2021-12-01,
NCT05801341,NO,2023-05-24,
NCT04860219,NO,2020-09-18,
NCT05389319,NO,2025-01-31,
NCT05545319,NO,2023-09-21,
NCT05419219,NO,2023-05-31,
NCT04497519,NO,2020-10-15,
NCT04671017,YES,2021-02-26,2022-03-07
NCT04546841,NO,2021-09-30,
NCT05173441,NO,2023-06-20,
NCT05463419,NO,2023-12-28,
NCT05079217,NO,2021-12-21,
NCT04420741,NO,2021-02-23,
NCT05523141,NO,2022-11-18,
NCT04952519,NO,2022-03-10,
NCT04536441,NO,2020-05-30,
NCT04392219,YES,2020-08-11,2021-06-15
NCT05012319,NO,2022-03-30,
NCT04750317,NO,2020-08-01,
NCT04957017,NO,2021-01-25,
NCT05273541,NO,2022-12-30,
NCT06128941,NO,2024-04,
NCT05517941,NO,2023-06-01,
NCT04511819,NO,2021-03-31,
NCT04366817,NO,2021-02-17,
NCT06038617,NO,2024-09,
NCT05200741,NO,2024-02,
NCT04753619,NO,2021-12-03,
NCT04896541,NO,2022-06-14,
NCT04659941,NO,2022-10-01,
NCT05238441,NO,2022-06-01,
NCT04354441,NO,2020-05,
NCT05037019,NO,2021-11,
NCT04888949,NO,2023-05-18,
NCT04870606,YES,2022-01-24,2023-08-14
NCT04482699,NO,2021-09-13,
NCT04821999,NO,2021-09-20,
NCT05393999,NO,2022-03-04,
NCT04345549,NO,2020-03-30,
NCT04537949,YES,2021-03-12,2022-02-14
NCT04579549,YES,2021-03-31,2021-12-27
NCT04810949,NO,2021-03-01,
NCT04418206,NO,2022-02-10,
NCT04369599,NO,2024-05,
NCT04572399,YES,2020-12-28,2021-09-22
NCT04634799,NO,2025-04-23,
NCT05273242,NO,2022-12,
NCT04939506,NO,2023-11-30,
NCT04454606,NO,2020-05-15,
NCT04365699,YES,2021-01-31,2021-09-01
NCT04701606,NO,2022-04-15,
NCT04327206,NO,2021-11-10,
NCT05228899,NO,2023-10-01,
NCT05477199,NO,2022-09-15,
NCT05812599,NO,2023-01-20,
NCT04864899,NO,2024-06-30,
NCT04789499,YES,2021-12-30,2022-12-22
NCT04456049,NO,2021-06-09,
NCT05616806,NO,2024-07-01,
NCT05282199,NO,2023-12-31,
NCT05075499,NO,2021-12,
NCT04769999,NO,2020-10-16,
NCT05104749,YES,2022-04-22,2023-09-07
NCT05271006,NO,2022-09-30,
NCT05239806,NO,2022-08-01,
NCT04357106,NO,2020-07,
NCT04529499,YES,2021-01-22,2022-03-10
NCT06018649,NO,2023-09-15,
NCT04619706,NO,2021-08-24,
NCT04962906,NO,2021-08-05,
NCT04345406,NO,2029-12-01,
NCT05767606,NO,2023-07,
NCT05614349,NO,2024-01,
NCT05336006,NO,2020-12-25,
NCT05063799,NO,2021-10-30,
NCT04710199,NO,2021-07-08,
NCT04303299,NO,2021-08-28,
NCT04439006,NO,2022-09-20,
NCT04363606,NO,2023-04,
NCT04494399,NO,2022-07-01,
NCT04545749,NO,2021-01-18,
NCT04904549,NO,2025-01-31,
NCT04639349,NO,2021-03-01,
NCT04765449,NO,2022-07-29,
NCT04747249,NO,2022-03-31,
NCT05185817,NO,2022-07-01,
NCT04610541,NO,2021-10-30,
NCT04961541,NO,2021-12-22,
NCT04932941,YES,2022-07-28,2023-04-26
NCT04615741,NO,2021-01-22,
NCT04587219,NO,2021-03-30,
NCT04476719,NO,2020-07-22,
NCT04627519,NO,2021-05-19,
NCT04416919,NO,2020-06-01,
NCT05636319,NO,2023-04-30,
NCT05501418,NO,2023-12-31,
NCT05077241,NO,2024-01,
NCT05458141,NO,2023-12-05,
NCT05897541,NO,2024-02-28,
NCT04574219,NO,2022-12-19,
NCT04302519,NO,2021-06-30,
NCT04832919,NO,2023-04,
NCT04954118,NO,2020-03-20,
NCT04634318,NO,2022-01-05,
NCT05447013,NO,2022-12-31,
NCT04806113,NO,2021-06-13,
NCT05137236,NO,2023-03-23,
NCT04708236,NO,2021-05,
NCT05960136,NO,2023-07-15,
NCT04353336,NO,2020-06-01,
NCT05130736,NO,2022-07-31,
NCT04326036,NO,2023-08-01,
NCT04498936,NO,2020-10-30,
NCT05960513,NO,2024-11-01,
NCT05077813,NO,2022-02,
NCT05085613,YES,2022-01-30,2022-08-18
NCT04379336,NO,2022-01-02,
NCT04370236,NO,2021-10-13,
NCT04327349,NO,2020-05-20,
NCT06112249,NO,2024-05,
NCT05848518,NO,2023-06-30,
NCT05228613,NO,2022-08-02,
NCT06106113,NO,2023-02-06,
NCT04465513,NO,2021-10-04,
NCT04656613,NO,2021-08,
NCT04765436,NO,2022-03-30,
NCT04602949,NO,2022-05-28,
NCT04743349,NO,2021-05-15,
NCT04252118,NO,2020-12,
NCT04381013,NO,2021-07,
NCT04348513,NO,2021-04-19,
NCT05113849,NO,2023-02,
NCT04730206,NO,2022-07-13,
NCT04351906,NO,2024-05-31,
NCT04497649,NO,2021-04-01,
NCT04340349,NO,2021-05-30,
NCT04452318,YES,2021-10-04,2022-09-29
NCT04565249,YES,2021-06-01,2022-09-22
NCT05713318,NO,2023-12-31,
NCT04433013,NO,2020-12,
NCT05254236,NO,2022-03-10,
NCT04530136,YES,2021-09-07,2023-02-22
NCT05973136,NO,2022-08-08,
NCT04521036,NO,2021-06-30,
NCT04794036,NO,2022-06-13,
NCT04721236,NO,2021-05-19,
NCT05715918,NO,2023-12-01,
NCT05038618,NO,2021-10-14,
NCT04531618,NO,2023-12,
NCT05808413,NO,2023-08-01,
NCT04951336,NO,2023-05-15,
NCT04500418,NO,2021-07-27,
NCT04304313,NO,2020-03-01,
NCT04392713,NO,2020-07,
NCT05739513,NO,2021-07-01,
NCT04542213,NO,2021-02-28,
NCT05198336,NO,2022-01-24,
NCT04904536,NO,2024-12,
NCT05758636,NO,2022-09-25,
NCT04456413,YES,2021-04-29,2022-12-09
NCT04966013,NO,2022-01-05,
NCT05614336,NO,2025-06,
NCT05516836,NO,2023-12-20,
NCT04331613,NO,2020-12,
NCT04754113,NO,2022-01-01,
NCT04441918,NO,2020-12-11,
NCT05011513,YES,2022-07-25,2023-07-20
NCT04367636,NO,2021-04-20,
NCT04615936,NO,2021-07-07,
NCT04801836,NO,2022-03-04,
NCT05520918,NO,2021-05-07,
NCT06020118,NO,2024-03-07,
NCT04927936,NO,2022-09,
NCT05637736,NO,2022-11-30,
NCT04344236,NO,2020-05-01,
NCT04357613,NO,2020-12-01,
NCT05168813,NO,2024-04-12,
NCT06099613,NO,2024-04-01,
NCT05557513,NO,2022-12-31,
NCT05163613,NO,2024-01-01,
NCT05356936,NO,2024-06-30,
NCT05112913,NO,2021-11-19,
NCT04422613,NO,2021-07-01,
NCT04542941,NO,2020-12-31,
NCT04540419,NO,2021-06-19,
NCT05065619,YES,2022-03-12,2023-03-09
NCT05531019,NO,2022-12-08,
NCT04817319,NO,2022-01-26,
NCT05780541,YES,2022-04-06,2024-01-12
NCT04379518,NO,2023-11-17,
NCT04582318,NO,2021-02-18,
NCT04682041,NO,2021-12-20,
NCT04374019,YES,2020-12-21,2022-01-12
NCT05664919,NO,2022-12-31,
NCT04600141,NO,2021-10-20,
NCT05130541,NO,2021-03-01,
NCT04528641,YES,2021-05-19,2022-01-17
NCT05685719,NO,2023-03-15,
NCT05889819,NO,2023-02-15,
NCT04751617,NO,2021-01-31,
NCT05042141,NO,2021-08-11,
NCT04557241,NO,2021-01-14,
NCT05758519,NO,2023-06-30,
NCT04561219,NO,2020-10-02,
NCT04380519,YES,2020-07-10,2022-01-10
NCT05947617,NO,2025-04-01,
NCT04756141,YES,2022-08-24,2023-07-10
NCT04478019,NO,2022-06-30,
NCT05877534,NO,2024-06-01,
NCT05596734,NO,2023-12-28,
NCT04953234,NO,2021-04-26,
NCT05436834,NO,2024-06-28,
NCT05083117,NO,2022-03-10,
NCT04591717,NO,2022-04-20,
NCT04458519,NO,2021-05-27,
NCT04380818,NO,2021-09-04,
NCT05142319,NO,2023-04,
NCT04570449,NO,2021-11,
NCT05059106,NO,2022-06-01,
NCT04540406,NO,2022-03-14,
NCT05024006,NO,2021-04-17,
NCT04344106,NO,2020-04-15,
NCT05499299,NO,2021-10-31,
NCT04385199,YES,2020-08-01,2021-08-25
NCT06185699,NO,2021-09-15,
NCT04798599,NO,2021-06-30,
NCT05890599,NO,2024-07,
NCT04739449,NO,2022-02,
NCT04413006,NO,2020-12-31,
NCT05142306,NO,2022-03-28,
NCT04836806,NO,2022-07,
NCT05722106,NO,2021-03-06,
NCT04611399,NO,2022-12-01,
NCT05195099,NO,2022-05-01,
NCT05515042,NO,2023-07-31,
NCT04632706,YES,2021-03-09,2021-12-14
NCT04405999,YES,2020-08-09,2022-03-21
NCT05242042,NO,2023-03-23,
NCT04433949,NO,2022-10-19,
NCT04543006,NO,2021-09-30,
NCT04420299,NO,2021-06-08,
NCT04533399,NO,2021-12-07,
NCT04706299,NO,2021-05-21,
NCT04537299,NO,2025-08-31,
NCT05407142,NO,2023-06-01,
NCT04374942,NO,2021-03-31,
NCT04638842,NO,2021-06-01,
NCT04773899,NO,2022-10-21,
NCT04351542,NO,2020-04-06,
NCT04341142,NO,2023-04-09,
NCT04423042,NO,2021-06,
NCT05092542,NO,2024-08-31,
NCT05069649,NO,2022-04-14,
NCT04338906,NO,2021-12,
NCT05973006,NO,2024-03-22,
NCT05648799,NO,2022-05-11,
NCT04400799,NO,2022-02-07,
NCT04292899,YES,2020-04-09,2020-12-15
NCT04689399,NO,2021-03-25,
NCT04699942,NO,2021-05-01,
NCT04502342,NO,2020-08-30,
NCT04836299,NO,2021-07-08,
NCT05280717,NO,2024-03-04,
NCT04337541,NO,2020-06-02,
NCT04344041,NO,2021-01-14,
NCT04666441,YES,2021-03-04,2022-03-03
NCT04894617,NO,2022-01,
NCT04635241,NO,2023-11-01,
NCT04912817,NO,2024-08-30,
NCT06197217,NO,2024-01,
NCT04338841,NO,2020-06-17,
NCT04349241,NO,2020-06-01,
NCT04261517,NO,2020-02-25,
NCT05530317,NO,2024-09,
NCT04548934,NO,2020-10-31,
NCT05387317,NO,2025-01,
NCT04435717,NO,2020-11-04,
NCT04589117,NO,2020-08-02,
NCT04577534,NO,2021-06-16,
NCT04522817,NO,2021-05,
NCT04801017,NO,2021-08,
NCT05415241,NO,2022-08-09,
NCT05596617,NO,2021-05-31,
NCT04372017,YES,2021-06-04,2021-12-06
NCT04308317,NO,2021-03-01,
NCT04390217,NO,2021-12-31,
NCT04584541,NO,2022-02-21,
NCT04880317,NO,2024-12,
NCT04399317,NO,2020-07,
NCT04392141,YES,2020-11-01,2020-11-25
NCT04466241,NO,2021-03-26,
NCT04588441,NO,2025-12,
NCT04859517,NO,2022-04-11,
NCT04776941,NO,2024-12-31,
NCT04363541,NO,2022-04,
NCT06156241,NO,2025-12,
NCT04414241,NO,2020-11-23,
NCT05765617,NO,2021-09-30,
NCT04876417,NO,2023-04-30,
NCT03305341,NO,2024-07-28,
NCT04617119,NO,2021-02-06,
NCT04349618,NO,2023-04-15,
NCT04822818,NO,2022-04-10,
NCT05379517,NO,2022-11-30,
NCT05334641,NO,2020-06-29,
NCT05932641,NO,2024-12-19,
NCT04448119,NO,2021-10-30,
NCT04939519,NO,2022-06-17,
NCT04400019,NO,2020-12-15,
NCT04471519,NO,2020-07-31,
NCT05036941,NO,2022-02,
NCT05172141,NO,2022-08-31,
NCT05324319,NO,2022-07-31,
NCT04437719,NO,2021-06-28,
NCT04593641,YES,2020-10-26,2021-12-23
NCT04791241,NO,2022-01-03,
NCT04516941,NO,2022-08-31,
NCT04970719,NO,2021-12,
NCT04623619,NO,2021-04-29,
NCT04816019,NO,2022-09-30,
NCT04347941,YES,2021-01-26,2021-11-20
NCT05115019,NO,2022-02,
NCT04371419,YES,2020-05-24,2021-05-28
NCT05268419,NO,2021-11-16,
NCT04351919,NO,2020-07-15,
NCT05599919,NO,2022-01-31,
NCT04619719,NO,2022-01-27,
NCT04732949,YES,2021-12-15,2022-12-15
NCT04509999,NO,2021-06-30,
NCT04324606,NO,2024-03-31,
NCT04396106,YES,2022-01-10,2023-01-04
NCT05220306,NO,2022-07-31,
NCT04395599,NO,2022-11,
NCT04742049,NO,2021-03-29,
NCT04511949,NO,2020-09-30,
NCT05817006,NO,2024-04-30,
NCT05451706,NO,2021-01-30,
NCT04728906,NO,2022-09-01,
NCT04420806,NO,2020-07-30,
NCT04600999,NO,2020-12-28,
NCT05048849,NO,2021-11-08,
NCT05293249,NO,2025-09,
NCT04583449,NO,2020-12-01,
NCT05783206,NO,2023-07-28,
NCT04517006,NO,2021-04-04,
NCT04371406,NO,2020-08,
NCT04896606,NO,2024-12-31,
NCT04589949,NO,2021-10-01,
NCT04305106,NO,2023-11-30,
NCT05172206,NO,2023-11-30,
NCT04537806,YES,2021-07-01,2022-07-01
NCT05195749,NO,2023-02-14,
NCT06039449,NO,2024-11,
NCT05289206,NO,2022-03-31,
NCT04353206,NO,2020-11-01,
NCT04631536,NO,2022-03-29,
NCT04463849,NO,2021-10-31,
NCT05246137,NO,2022-03-03,
NCT05172037,NO,2022-03,
NCT04588415,NO,2021-12-01,
NCT04519437,NO,2021-11-22,
NCT04834115,NO,2021-04-30,
NCT04700137,YES,2022-01-06,2022-04-01
NCT05308537,NO,2023-02-19,
NCT05104437,NO,2022-11,
NCT04356937,YES,2020-07-13,2021-06-23
NCT04669015,NO,2022-08,
NCT04679415,NO,2021-08-19,
NCT05012800,NO,2022-08-31,
NCT04865237,NO,2022-07-11,
NCT04364815,NO,2021-05,
NCT04935437,NO,2021-08-01,
NCT05205655,NO,2021-08-31,
NCT04363814,NO,2022-01-01,
NCT05727514,NO,2022-11-30,
NCT04361214,NO,2022-01-31,
NCT04863638,NO,2021-12-20,
NCT04480138,NO,2021-06-21,
NCT04365608,NO,2020-11-30,
NCT05676008,NO,2024-04,
NCT06127108,NO,2025-10-01,
NCT04719208,NO,2023-07-01,
NCT05033223,NO,2022-01-16,
NCT04459455,NO,2020-10-15,
NCT06027255,NO,2025-10-31,
NCT05231395,NO,2024-01-15,
NCT04647695,NO,2021-07-31,
NCT05123755,NO,2024-12,
NCT05114655,NO,2022-02-10,
NCT04573855,NO,2021-02-28,
NCT06030414,NO,2024-03-01,
NCT06026514,NO,2024-11,
NCT04981314,NO,2021-10-01,
NCT04527614,NO,2022-11-30,
NCT04460014,NO,2022-06-16,
NCT05675995,NO,2024-01-24,
NCT04967755,NO,2021-08-31,
NCT04477655,NO,2021-01-26,
NCT05697055,NO,2023-05-21,
NCT04346355,NO,2020-06-06,
NCT06042855,NO,2024-06,
NCT04392414,NO,2020-07-10,
NCT04376814,NO,2020-04-05,
NCT04435314,NO,2020-08,
NCT05516550,NO,2022-12,
NCT05894655,NO,2024-11-30,
NCT04964414,YES,2023-01-13,2024-01-10
NCT04354714,NO,2021-07-31,
NCT04403555,NO,2020-10-31,
NCT04663555,NO,2022-03-09,
NCT04345614,NO,2021-06-28,
NCT04340414,NO,2020-08-15,
NCT04918914,NO,2021-12-31,
NCT04469114,NO,2021-01-09,
NCT04939714,NO,2022-08-15,
NCT04551755,NO,2020-11,
NCT04629755,NO,2020-08-03,
NCT04382755,YES,2020-12-29,2022-07-04
NCT04685655,NO,2023-04-30,
NCT05629455,NO,2022-11-22,
NCT04397614,YES,2021-11-12,2023-03-02
NCT04873414,NO,2021-10-30,
NCT04928495,NO,2022-04-09,
NCT04729595,NO,2022-09-21,
NCT05105295,NO,2022-06-30,
NCT05672355,NO,2026-01-12,
NCT05277155,NO,2022-07-22,
NCT05681455,NO,2023-06-15,
NCT05386355,NO,2023-09,
NCT04333355,NO,2020-08-20,
NCT04333914,NO,2021-07-06,
NCT04703114,NO,2021-09-15,
NCT04788355,NO,2020-11-15,
NCT04306055,NO,2020-03-13,
NCT05184114,NO,2024-06-30,
NCT04954014,NO,2021-08-31,
NCT04779138,NO,2023-11-30,
NCT04920838,NO,2023-08,
NCT04394208,NO,2021-01-30,
NCT04421508,YES,2020-12-28,2022-05-30
NCT04642638,YES,2022-09-13,2023-10-16
NCT05725538,NO,2024-03-15,
NCT04330638,YES,2020-12-20,2022-09-13
NCT04828538,NO,2021-12-31,
NCT04377308,YES,2021-04-30,2022-03-04
NCT05079308,NO,2021-06-30,
NCT04407208,NO,2020-06-22,
NCT05406908,NO,2023-03-20,
NCT04397523,NO,2021-05-10,
NCT05239923,NO,2021-11-30,
NCT05057923,YES,2021-10-20,2021-12-18
NCT04844138,NO,2022-06-29,
NCT05817708,NO,2023-03-23,
NCT05302908,NO,2024-07,
NCT04381923,NO,2022-11-15,
NCT05765838,NO,2023-04-01,
NCT05197608,NO,2024-01,
NCT04428008,NO,2022-10,
NCT04497623,NO,2020-08-13,
NCT04437823,NO,2021-10-31,
NCT05993338,NO,2023-04-01,
NCT04931238,NO,2021-12-31,
NCT06054438,NO,2024-03-31,
NCT04455308,NO,2020-10-19,
NCT04797208,NO,2023-08-31,
NCT04356508,NO,2020-06-30,
NCT04951323,NO,2022-12-01,
NCT04341038,NO,2020-06-01,
NCT05490108,NO,2022-09-26,
NCT05113823,NO,2020-11-19,
NCT04715438,NO,2021-06-04,
NCT04575038,YES,2021-04-28,2022-04-12
NCT04393038,NO,2021-03-05,
NCT05764538,NO,2025-02,
NCT04420338,NO,2020-12-15,
NCT05656508,NO,2022-09-30,
NCT04959708,NO,2021-12-01,
NCT04984408,NO,2024-09-30,
NCT04370223,NO,2020-10-25,
NCT05329038,NO,2022-06-19,
NCT04703608,NO,2022-03,
NCT04962308,NO,2021-08-19,
NCT05315908,YES,2021-11-15,2023-05-11
NCT05293223,NO,2022-11-15,
NCT04756323,NO,2021-06-30,
NCT05212610,NO,2024-12-30,
NCT04641481,NO,2021-01-08,
NCT04632381,NO,2023-01-12,
NCT05642910,NO,2023-01-31,
NCT04523181,YES,2021-12-23,2023-09-13
NCT04739410,NO,2020-06-30,
NCT04492410,NO,2021-05-12,
NCT05408312,NO,2023-12,
NCT04858412,NO,2025-03-31,
NCT04893512,NO,2022-11-11,
NCT04482712,NO,2022-01,
NCT04694612,NO,2021-03-31,
NCT04844710,NO,2020-11-15,
NCT05072210,NO,2023-09-12,
NCT05711810,NO,2023-01-10,
NCT04858581,NO,2022-12,
NCT04661410,NO,2021-09-15,
NCT04390412,NO,2020-08-30,
NCT04576312,NO,2020-12-04,
NCT04487210,NO,2021-06-01,
NCT05933512,NO,2023-12-10,
NCT04551781,NO,2020-07-30,
NCT04488081,NO,2023-07-24,
NCT05062681,NO,2021-12-15,
NCT04685681,NO,2022-03-25,
NCT04701710,NO,2020-12-18,
NCT04336410,NO,2022-02-10,
NCT04518410,YES,2022-04-07,2023-04-07
NCT04401410,NO,2021-10-12,
NCT05216510,NO,2022-06,
NCT04818281,NO,2021-12-29,
NCT04584710,NO,2021-02,
NCT05122910,NO,2022-12-15,
NCT05037110,NO,2023-06,
NCT05363410,NO,2022-09-30,
NCT05311410,NO,2023-12-20,
NCT04406181,NO,2020-12-31,
NCT04780581,NO,2021-11-09,
NCT04865081,NO,2021-06,
NCT04784481,NO,2020-12-20,
NCT04354610,NO,2020-12-19,
NCT05648110,NO,2023-09-07,
NCT04724681,NO,2022-12-31,
NCT04761510,NO,2021-01-14,
NCT05493410,NO,2021-12-15,
NCT05060510,NO,2021-11-01,
NCT04397510,NO,2021-12-31,
NCT04646655,NO,2022-10-16,
NCT05000255,NO,2022-06-30,
NCT05038514,NO,2022-03-30,
NCT04518514,NO,2020-10-31,
NCT04323514,NO,2021-03-13,
NCT05667714,NO,2022-12-30,
NCT04342650,NO,2020-05-14,
NCT04387955,NO,2021-07-30,
NCT04394455,NO,2020-11-30,
NCT05082714,NO,2022-06-04,
NCT04354155,YES,2021-06-04,2022-03-01
NCT04429555,NO,2022-06-30,
NCT05132855,NO,2023-04,
NCT04352608,NO,2020-07-10,
NCT05689008,NO,2023-03-31,
NCT04730323,NO,2020-06-12,
NCT04343755,YES,2023-04-26,2023-06-22
NCT05228314,NO,2022-09-23,
NCT05453214,NO,2022-03-03,
NCT04582214,NO,2022-04-30,
NCT05151614,NO,2021-10-30,
NCT04608214,NO,2022-01-19,
NCT05075538,NO,2024-01-08,
NCT04283838,NO,2020-04-30,
NCT05305638,NO,2022-09-15,
NCT04834908,NO,2022-05-25,
NCT04870723,NO,2022-05-15,
NCT05682638,NO,2024-12,
NCT05699538,NO,2025-06-05,
NCT04978038,NO,2022-11-15,
NCT06064838,NO,2024-09-30,
NCT04816708,YES,2022-01-30,2023-03-08
NCT04392323,NO,2020-10-01,
NCT05737823,NO,2024-07-30,
NCT05642923,NO,2023-10-08,
NCT04366050,YES,2021-05-12,2023-09-01
NCT04401150,NO,2022-07-15,
NCT05552950,NO,2023-07-31,
NCT05234281,NO,2023-05-01,
NCT04833010,NO,2023-12-01,
NCT05124210,YES,2023-06-14,2023-12-14
NCT04575610,NO,2021-10-06,
NCT04421612,NO,2021-01-01,
NCT05421546,NO,2023-12-31,
NCT04371510,NO,2021-08-27,
NCT05394012,NO,2023-02,
NCT05732610,NO,2023-02-28,
NCT04334512,NO,2024-02-27,
NCT04546581,YES,2021-05-21,2022-03-28
NCT04567810,NO,2020-12-14,
NCT04712110,YES,2022-03-28,2023-03-27
NCT04583410,NO,2021-12,
NCT04516512,NO,2021-07-08,
NCT04841681,NO,2020-08-25,
NCT05525910,NO,2022-11-07,
NCT06091410,NO,2023-12-08,
NCT04591210,NO,2024-12,
NCT04953312,NO,2023-12,
